Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOGE,2021-03-18,0.0577099559,0.05784259,0.0592958684,0.0569352726
DOGE,2021-03-19,0.0588501218,0.057317314,0.0600060653,0.0564467566
DOGE,2021-03-20,0.0600436085,0.0584436787,0.0607938399,0.058058328
DOGE,2021-03-21,0.0582353822,0.0589871576,0.0596507135,0.056746115
DOGE,2021-03-22,0.0552306751,0.0575856895,0.0580238559,0.0546451008
DOGE,2021-03-23,0.0541114704,0.0549960427,0.0561639321,0.0530410869
DOGE,2021-03-24,0.0524086592,0.0534588585,0.0567511923,0.0508429073
DOGE,2021-03-25,0.0517399755,0.0515914763,0.0524671679,0.0493870817
DOGE,2021-03-26,0.0536922506,0.0512469883,0.0539588658,0.0512335447
DOGE,2021-03-27,0.0547461382,0.0540462943,0.0554897514,0.053446905
DOGE,2021-03-28,0.053484146,0.0544107469,0.0549374495,0.0529762863
DOGE,2021-03-29,0.0540968173,0.0536534051,0.0547760986,0.0531903187
DOGE,2021-03-30,0.054213746,0.0541103016,0.0556671215,0.0536176723
DOGE,2021-03-31,0.0535549684,0.0540935487,0.0546406006,0.0516242868
DOGE,2021-04-01,0.0599140442,0.0537247306,0.0712055878,0.053626903
DOGE,2021-04-02,0.0574238167,0.0620565754,0.0628421681,0.0573229685
DOGE,2021-04-03,0.0563784774,0.0575957894,0.0594856886,0.0560073893
DOGE,2021-04-04,0.057309917,0.0555667878,0.0582439472,0.0551696942
DOGE,2021-04-05,0.0589234204,0.0574579844,0.0593147316,0.0562645421
DOGE,2021-04-06,0.0630599071,0.0599549147,0.0653250048,0.0580659673
DOGE,2021-04-07,0.0601873248,0.0644360516,0.0674773224,0.0571396904
DOGE,2021-04-08,0.0611705401,0.0588224037,0.0624079822,0.0586611523
DOGE,2021-04-09,0.0616745563,0.0617611871,0.064287791,0.0604773586
DOGE,2021-04-10,0.0635717714,0.0616170695,0.0651114074,0.0609425277
DOGE,2021-04-11,0.0756353606,0.0637613937,0.0800344807,0.0633248084
DOGE,2021-04-12,0.0715775832,0.0743739033,0.0754303584,0.0686909801
DOGE,2021-04-13,0.0924414626,0.0707960231,0.0945170983,0.0706332349
DOGE,2021-04-14,0.1275778771,0.0944300679,0.1453077308,0.0921680662
